Manual_Rank_fig4,Manual_Rank,Rank,Abundance_Rank,Phylum_Rank,Ratio_Rank,OTUID,Major,Minor,Ratio,Log2ratio,Pred.Valid.Group,Order_fig4,Order,Phylum,MonoDiderm
25,29,27,33,31,26,X766,0.012160601,0.012962963,0.938103489,-0.092181009,NA,Myxococcales,Myxococcales,Proteobacteria,Diderm
26,30,26,26,40,31,X312,0.066926632,0.078395062,0.853709794,-0.228182365,NA,Verrucomicrobiales,Verrucomicrobiales,Verrucomicrobia,Diderm
27,31,25,25,39,34,X531,0.027527441,0.033950617,0.810808255,-0.302567318,NA,Spartobacteriales,Spartobacteriales,Verrucomicrobia,Diderm
28,36,37,27,25,17,X318,0.059349124,0.05462963,1.086390739,0.119543086,minor,Burkholderiales,Burkholderiales,Proteobacteria,Diderm
29,37,38,28,26,33,X577,0.020094358,0.023765432,0.845528822,-0.242074161,minor,Burkholderiales,Burkholderiales,Proteobacteria,Diderm
30,38,39,29,27,35,X18,0.659580204,0.816358025,0.807954579,-0.307653904,minor,Burkholderiales,Burkholderiales,Proteobacteria,Diderm
31,39,40,30,28,38,X947,0.009050645,0.013271605,0.681955587,-0.552250309,minor,Burkholderiales,Burkholderiales,Proteobacteria,Diderm
32,40,29,40,38,40,X445,0.034411708,0.085493827,0.402505178,-1.312920752,minor,Xanthomonadales,Xanthomonadales,Proteobacteria,Diderm
33,25,32,34,32,14,X695,0.017995378,0.016049383,1.121250497,0.165108625,NA,Other,Rhodocyclales,Proteobacteria,Diderm
34,26,33,35,33,27,X286,0.067947237,0.075308642,0.902250189,-0.148400555,NA,Other,Rhodocyclales,Proteobacteria,Diderm
35,27,30,31,29,24,X94,0.257211631,0.257407407,0.99923943,-0.001097688,NA,Other,Caulobacterales,Proteobacteria,Diderm
36,28,31,32,30,28,X82,0.288157135,0.323148148,0.891718354,-0.165339983,NA,Other,Caulobacterales,Proteobacteria,Diderm
37,32,28,36,34,37,X734,0.012661275,0.016358025,0.774010011,-0.369575869,minor,Other,Rhodospirillales,Proteobacteria,Diderm
38,33,34,37,35,30,X205,0.104698633,0.120679012,0.867579463,-0.204932192,minor,Other,Sphingomonadales,Proteobacteria,Diderm
39,34,35,38,36,36,X148,0.111255536,0.142901235,0.778548462,-0.36114125,minor,Other,Sphingomonadales,Proteobacteria,Diderm
40,35,36,39,37,39,X340,0.04348161,0.076234568,0.570366056,-0.810039969,minor,Other,Sphingomonadales,Proteobacteria,Diderm
