Manual_Rank_fig5	Manual_Rank	OTUID	Phylum	Order	Order_fig5	Pvalue	MaxClass	IndicatorValueforMaxClass	RelAbu_G1	RelAbu_G2	RelFrq_G1	RelFrq_G2	AlelleRatio	Log2ratio	CellWall
17	27	X68	Actinobacteria	Solirubrobacterales	Solirubrobacterales	0.001583885	G1	0.583391873	0.583391873	0.416608127	1	1	1.400337238	0.485774308	monoderm
18	28	X2472	Actinobacteria	Solirubrobacterales	Solirubrobacterales	0.033346026	G1	0.564727225	0.580862289	0.419137711	0.972222222	0.838709677	1.385850694	0.470771836	monoderm
19	29	X311	Actinobacteria	Solirubrobacterales	Solirubrobacterales	0.031637969	G1	0.571623217	0.571623217	0.428376783	1	1	1.334393554	0.416184225	monoderm
20	30	X1722	Actinobacteria	Solirubrobacterales	Solirubrobacterales	0.044221302	G1	0.565966242	0.565966242	0.434033758	1	1	1.303968254	0.382908747	monoderm
21	31	X190	Actinobacteria	Solirubrobacterales	Solirubrobacterales	0.015903422	G1	0.565082589	0.565082589	0.434917411	1	1	1.299287119	0.377720276	monoderm
22	18	X2637	Actinobacteria	Acidimicrobiales	Other	0.014877483	G1	0.477304027	0.660882499	0.339117501	0.722222222	0.451612903	1.948830409	0.96260855	monoderm
23	19	X2715	Actinobacteria	Acidimicrobiales	Other	0.025604305	G1	0.539701054	0.626749611	0.373250389	0.861111111	0.709677419	1.679166667	0.747745433	monoderm
24	20	X471	Actinobacteria	Acidimicrobiales	Other	0.006536424	G1	0.58016327	0.58016327	0.41983673	1	1	1.381878307	0.466630573	monoderm
25	21	X576	Actinobacteria	Acidimicrobiales	Other	0.010563466	G1	0.571683522	0.571683522	0.428316478	1	1	1.334722222	0.416539524	monoderm
26	22	X1016	Actinobacteria	Acidimicrobiales	Other	0.027359823	G1	0.568780302	0.568780302	0.431219698	1	0.806451613	1.319003527	0.399448422	monoderm
27	14	X1710	Actinobacteria	MC47	Other	0.025041943	G1	0.557189542	0.607843137	0.392156863	0.916666667	0.774193548	1.55	0.632268215	monoderm
28	15	X28	Actinobacteria	MC47	Other	0.04631181	G1	0.559739021	0.592664846	0.407335154	0.944444444	0.870967742	1.454980843	0.541000158	monoderm
29	16	X71	Actinobacteria	MC47	Other	0.002571192	G1	0.572601334	0.572601334	0.427398666	1	1	1.339735894	0.421948626	monoderm
30	17	X712	Actinobacteria	MC47	Other	0.006344923	G1	0.56739651	0.56739651	0.43260349	1	1	1.311585607	0.391311975	monoderm
31	1	X1035	Chloroflexi	KtedonobacteriaCL	Other	0.029273731	G1	0.520516525	0.749543796	0.250456204	0.694444444	0.451612903	2.992714026	1.581454426	monoderm
32	32	X3724	Chloroflexi	ThermomicrobiaCL	Other	0.004669978	G1	0.463603097	0.72563963	0.27436037	0.638888889	0.322580645	2.64484127	1.403181142	monoderm
33	33	X902	Chloroflexi	ThermomicrobiaCL	Other	0.02432947	G1	0.549625636	0.618328841	0.381671159	0.888888889	0.741935484	1.620056497	0.696044126	monoderm
34	34	X615	Chloroflexi	ThermomicrobiaCL	Other	0.020738411	G1	0.584477986	0.584477986	0.415522014	1	0.935483871	1.406611362	0.492223776	monoderm
35	35	X1979	Chloroflexi	ThermomicrobiaCL	Other	0.020415011	G1	0.566482211	0.582667417	0.417332583	0.972222222	0.774193548	1.396170442	0.481475074	monoderm
36	36	X244	Chloroflexi	ThermomicrobiaCL	Other	0.015977925	G1	0.569732356	0.569732356	0.430267644	1	0.967741935	1.324134791	0.40504999	monoderm
37	37	X1594	Chloroflexi	ThermomicrobiaCL	Other	0.043746689	G1	0.557101449	0.557101449	0.442898551	1	0.967741935	1.257853403	0.330963793	monoderm
38	38	X1448	Chloroflexi	Roseiflexales	Other	0.000733996	G1	0.6053137	0.6053137	0.3946863	1	0.935483871	1.533657745	0.616976563	monoderm
39	39	X628	Chloroflexi	AKYG885	Other	0.046336093	G1	0.564976228	0.564976228	0.435023772	1	0.870967742	1.298724954	0.377095927	monoderm
40	40	X211	Chloroflexi	SOGA31CL	Other	3.31E-06	G1	0.59071257	0.59071257	0.40928743	1	1	1.443270736	0.529341953	monoderm
41	41	X1099	Chloroflexi	SOGA31CL	Other	0.001633554	G1	0.581170371	0.581170371	0.418829629	1	1	1.387605676	0.472597647	monoderm
42	42	X113	Chloroflexi	SOGA31CL	Other	0.005557395	G1	0.561513106	0.561513106	0.438486894	1	1	1.280569874	0.356785975	monoderm
43	43	X2403	Firmicutes	Clostridiales	Other	0.031353753	G1	0.414594809	0.67842787	0.32157213	0.611111111	0.387096774	2.109722222	1.077053058	monoderm
44	44	X1878	Firmicutes	Clostridiales	Other	0.028474614	G2	0.565766997	0.434233003	0.565766997	0.805555556	1	0.767512077	-0.381738643	monoderm
45	47	X347	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadales	0.037571744	G1	0.554194623	0.554194623	0.445805377	1	0.967741935	1.243131313	0.313978698	diderm
46	48	X1346	Acidobacteria	Acidobacteriales	Acidobacteriales	0.045742274	G1	0.556146992	0.572036906	0.427963094	0.972222222	0.903225806	1.336650083	0.418621837	diderm
47	49	X1225	Acidobacteria	Acidobacteriales	Acidobacteriales	0.012506071	G1	0.569892473	0.569892473	0.430107527	1	0.967741935	1.325	0.40599236	diderm
48	50	X1271	Bacteroidetes	Sphingobacteriales	Sphingobacteriales	0.040906733	G1	0.439342404	0.632653061	0.367346939	0.694444444	0.451612903	1.722222222	0.784271309	diderm
49	51	X1054	Bacteroidetes	Sphingobacteriales	Sphingobacteriales	0.042016004	G2	0.560718791	0.420590583	0.579409417	0.833333333	0.967741935	0.725895317	-0.462166586	diderm
50	52	X2574	Bacteroidetes	Sphingobacteriales	Sphingobacteriales	0.049274283	G2	0.537163433	0.3832568	0.6167432	0.777777778	0.870967742	0.621420389	-0.686358517	diderm
51	53	X796	Bacteroidetes	Sphingobacteriales	Sphingobacteriales	0.031289735	G2	0.618722514	0.360653402	0.639346598	0.944444444	0.967741935	0.564096851	-0.825985212	diderm
52	54	X3322	Proteobacteria	Rhodospirillales	Rhodospirillales	0.043889073	G2	0.431196407	0.392405063	0.607594937	0.444444444	0.709677419	0.645833333	-0.630766191	diderm
53	55	X74	Proteobacteria	Burkholderiales	Burkholderiales	0.015471302	G2	0.561470246	0.438529754	0.561470246	1	1	0.781038279	-0.356534838	diderm
54	56	X18	Proteobacteria	Burkholderiales	Burkholderiales	0.004921082	G2	0.772670363	0.227329637	0.772670363	1	1	0.294212963	-1.765067282	diderm
55	59	X726	Proteobacteria	Xanthomonadales	Xanthomonadales	0.016624724	G2	0.584275572	0.415724428	0.584275572	1	1	0.711521152	-0.491021449	diderm
56	45	X1775	Proteobacteria	Alteromonadales	Other	0.033423841	G1	0.599033816	0.673913043	0.326086957	0.888888889	0.709677419	2.066666667	1.047305715	diderm
57	46	X3519	Acidobacteria	Sva0725CL	Other	0.020138521	G1	0.459676199	0.689514299	0.310485701	0.666666667	0.451612903	2.220760234	1.15105364	diderm
58	60	X559	Proteobacteria	BetaproteobacteriaCL	Other	0.021098234	G2	0.581293795	0.418706205	0.581293795	0.916666667	1	0.720300489	-0.473329211	diderm
59	61	X1047	Cyanobacteria	CyanobacteriaPH	Other	0.044956402	G2	0.480165983	0.379785605	0.620214395	0.611111111	0.774193548	0.612345679	-0.707581787	diderm
60	62	X1299	Armatimonadetes	CH21CL	Other	0.007598234	G2	0.598874799	0.381162707	0.618837293	0.833333333	0.967741935	0.615933642	-0.699153165	diderm
61	63	X2114	Acidobacteria	ChloracidobacteriaCL	Other	0.00598234	G2	0.588178482	0.371257485	0.628742515	0.805555556	0.935483871	0.59047619	-0.760049208	diderm
62	64	X1566	Acidobacteria	ChloracidobacteriaCL	Other	0.036043046	G2	0.481770397	0.350657291	0.649342709	0.583333333	0.741935484	0.540018832	-0.888918376	diderm
63	57	X359	Proteobacteria	Sphingomonadales	Other	0.024663355	G2	0.597674131	0.382403398	0.617596602	0.888888889	0.967741935	0.619179894	-0.69156947	diderm
64	58	X148	Proteobacteria	Sphingomonadales	Other	0.006196468	G2	0.493487008	0.271519178	0.728480822	0.444444444	0.677419355	0.372719735	-1.423836885	diderm
65	65	X1991	Proteobacteria	Procabacteriales	Other	0.0145883	G2	0.632632307	0.273644388	0.726355612	0.75	0.870967742	0.376736111	-1.408373769	diderm
